"bairro","preco","area","suites","dormitorios","banheiros","vagas"
"vila-nova-conceicao","3350000.0","182.0","1.0","3.0","1.0","2.0"
"vila-nova-conceicao","1170000.0","67.0","1.0","1.0","2.0","1.0"
"vila-nova-conceicao","4260000.0","220.0","3.0","3.0","4.0","3.0"
"vila-nova-conceicao","1223400.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","1480000.0","128.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","500000.0","37.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","950000.0","108.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","1367200.0","83.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","850000.0","72.0","1.0","2.0","3.0","1.0"
"vila-nova-conceicao","4180000.0","235.0","3.0","4.0","4.0","4.0"
"vila-nova-conceicao","4200000.0","222.0","3.0","3.0","4.0","4.0"
"vila-nova-conceicao","4700000.0","292.0","4.0","4.0","5.0","4.0"
"vila-nova-conceicao","7500000.0","285.0","4.0","4.0","7.0","5.0"
"vila-nova-conceicao","5800000.0","271.0","2.0","4.0","6.0","4.0"
"vila-nova-conceicao","1319490.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","1214760.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","3200000.0","157.0","2.0","2.0","3.0","3.0"
"vila-nova-conceicao","2000000.0","154.0","1.0","3.0","1.0","2.0"
"vila-nova-conceicao","1226500.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","1257450.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","1200000.0","95.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","1350000.0","53.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","1800000.0","200.0","3.0","3.0","4.0","2.0"
"vila-nova-conceicao","2400000.0","180.0","1.0","4.0","1.0","2.0"
"vila-nova-conceicao","1330000.0","105.0","1.0","2.0","2.0","3.0"
"vila-nova-conceicao","1180000.0","107.0","1.0","1.0","3.0","1.0"
"vila-nova-conceicao","2980000.0","210.0","3.0","4.0","5.0","3.0"
"vila-nova-conceicao","1223400.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","4695000.0","192.0","4.0","4.0","6.0","4.0"
"vila-nova-conceicao","1705000.0","141.0","2.0","4.0","3.0","2.0"
"vila-nova-conceicao","550000.0","43.0","1.0","1.0","2.0","1.0"
"vila-nova-conceicao","3500000.0","251.0","4.0","4.0","4.0","4.0"
"vila-nova-conceicao","1550000.0","78.0","1.0","1.0","2.0","2.0"
"vila-nova-conceicao","1700000.0","128.0","1.0","3.0","1.0","2.0"
"vila-nova-conceicao","1800000.0","110.0","2.0","2.0","2.0","2.0"
"vila-nova-conceicao","1590000.0","145.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","3700000.0","207.0","2.0","2.0","6.0","3.0"
"vila-nova-conceicao","1259020.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","960000.0","48.0","2.0","2.0","2.0","1.0"
"vila-nova-conceicao","1360340.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","4100000.0","226.0","3.0","3.0","3.0","4.0"
"vila-nova-conceicao","1398030.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","2600000.0","166.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","1226500.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","3300000.0","210.0","3.0","3.0","4.0","3.0"
"vila-nova-conceicao","1974560.0","112.0","2.0","2.0","3.0","2.0"
"vila-nova-conceicao","1328720.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","1380000.0","128.0","1.0","3.0","1.0","1.0"
"vila-nova-conceicao","800000.0","57.0","1.0","2.0","2.0","1.0"
"vila-nova-conceicao","3500000.0","210.0","3.0","3.0","4.0","3.0"
"vila-nova-conceicao","1250120.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","790000.0","91.0","2.0","2.0","3.0","1.0"
"vila-nova-conceicao","1259020.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","532000.0","42.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","1259020.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","2150000.0","154.0","1.0","4.0","4.0","2.0"
"vila-nova-conceicao","1250000.0","105.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","3500000.0","222.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","2950000.0","210.0","3.0","4.0","5.0","3.0"
"vila-nova-conceicao","1259020.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","1690000.0","127.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","1246970.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","1259020.0","80.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","1350000.0","160.0","1.0","3.0","4.0","2.0"
"vila-nova-conceicao","6000000.0","256.0","3.0","4.0","4.0","4.0"
"vila-nova-conceicao","690000.0","44.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","1450000.0","102.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","5500000.0","233.0","2.0","4.0","5.0","4.0"
"vila-nova-conceicao","4250000.0","220.0","4.0","4.0","7.0","3.0"
"vila-nova-conceicao","4100000.0","237.0","4.0","4.0","7.0","4.0"
"vila-nova-conceicao","1490000.0","128.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","1550000.0","78.0","1.0","1.0","2.0","2.0"
"vila-nova-conceicao","860000.0","49.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","4200000.0","222.0","3.0","3.0","4.0","4.0"
"vila-nova-conceicao","899000.0","85.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","1380000.0","128.0","1.0","3.0","2.0","1.0"
"vila-nova-conceicao","3000000.0","157.0","3.0","3.0","4.0","3.0"
"vila-nova-conceicao","3200000.0","210.0","3.0","4.0","3.0","3.0"
"vila-nova-conceicao","790000.0","86.0","1.0","3.0","2.0","1.0"
"vila-nova-conceicao","3200000.0","157.0","1.0","3.0","3.0","3.0"
"vila-nova-conceicao","4500000.0","216.0","3.0","3.0","3.0","3.0"
"vila-nova-conceicao","3400000.0","182.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","4400000.0","231.0","3.0","3.0","3.0","4.0"
"vila-nova-conceicao","2300000.0","165.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","4200000.0","216.0","2.0","3.0","3.0","3.0"
"vila-nova-conceicao","4200000.0","216.0","3.0","4.0","5.0","4.0"
"vila-nova-conceicao","1974560.0","112.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","4470000.0","192.0","4.0","4.0","4.0","4.0"
"vila-nova-conceicao","4800000.0","271.0","2.0","2.0","6.0","4.0"
"vila-nova-conceicao","4000000.0","233.0","3.0","3.0","1.0","3.0"
"vila-nova-conceicao","3700000.0","210.0","2.0","2.0","1.0","3.0"
"vila-nova-conceicao","4200000.0","274.0","2.0","4.0","5.0","4.0"
"vila-nova-conceicao","1300000.0","103.0","1.0","3.0","2.0","2.0"
"vila-nova-conceicao","820000.0","91.0","1.0","3.0","2.0","1.0"
"vila-nova-conceicao","720000.0","116.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","2000960.0","116.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","1519020.0","87.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","5293560.0","261.0","4.0","4.0","7.0","4.0"
"vila-nova-conceicao","1800000.0","112.0","2.0","3.0","3.0","2.0"
"vila-nova-conceicao","1400000.0","169.0","1.0","3.0","2.0","2.0"
"vila-nova-conceicao","4790000.0","192.0","4.0","4.0","6.0","4.0"
"vila-nova-conceicao","3900000.0","226.0","3.0","3.0","5.0","4.0"
"vila-nova-conceicao","1700000.0","80.0","1.0","1.0","2.0","2.0"
"vila-nova-conceicao","2300000.0","134.0","2.0","2.0","3.0","2.0"
"vila-nova-conceicao","2000000.0","205.0","1.0","4.0","3.0","2.0"
"vila-nova-conceicao","3600000.0","210.0","2.0","3.0","4.0","3.0"
"vila-nova-conceicao","4280000.0","222.0","3.0","3.0","4.0","4.0"
"vila-nova-conceicao","1400000.0","130.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","4000000.0","192.0","4.0","4.0","4.0","4.0"
"vila-nova-conceicao","1670000.0","128.0","2.0","3.0","2.0","2.0"
"vila-nova-conceicao","3950000.0","252.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","1519020.0","87.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","780000.0","69.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","3750000.0","165.0","4.0","4.0","7.0","3.0"
"vila-nova-conceicao","2970000.0","211.0","3.0","3.0","3.0","3.0"
"vila-nova-conceicao","1950000.0","136.0","1.0","3.0","4.0","2.0"
"vila-nova-conceicao","3180000.0","182.0","1.0","2.0","1.0","2.0"
"vila-nova-conceicao","4100000.0","237.0","4.0","4.0","5.0","4.0"
"vila-nova-conceicao","3700000.0","210.0","2.0","4.0","3.0","3.0"
"vila-nova-conceicao","1170000.0","110.0","1.0","1.0","3.0","1.0"
