Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10689243,1,"Sunday, April  7, 2013 06:41:01 UTC",62.9911,-149.7462,1.0,43.90, 6,"Central Alaska"
ak,10689240,1,"Sunday, April  7, 2013 06:34:35 UTC",60.8467,-147.7336,1.6,4.40, 5,"Southern Alaska"
ak,10689238,2,"Sunday, April  7, 2013 06:27:12 UTC",52.4786,-174.3893,3.4,248.70,20,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71967545,0,"Sunday, April  7, 2013 05:53:33 UTC",36.7120,-121.3532,1.1,3.10, 9,"Central California"
ak,10689230,2,"Sunday, April  7, 2013 05:52:27 UTC",61.2826,-150.6693,1.2,56.50,17,"Southern Alaska"
uu,60018297,4,"Sunday, April  7, 2013 05:46:35 UTC",39.7088,-111.2557,1.5,3.40,17,"Utah"
nc,71967535,0,"Sunday, April  7, 2013 05:37:59 UTC",38.8217,-122.7625,1.2,2.30,17,"Northern California"
nc,71967530,1,"Sunday, April  7, 2013 05:34:07 UTC",38.8200,-122.7615,2.7,2.10,64,"Northern California"
ak,10689222,1,"Sunday, April  7, 2013 05:26:34 UTC",60.9318,-151.4713,1.9,60.30,10,"Kenai Peninsula, Alaska"
ak,10689220,2,"Sunday, April  7, 2013 05:25:57 UTC",63.2783,-150.4491,1.6,119.30,25,"Central Alaska"
ak,10689216,1,"Sunday, April  7, 2013 05:23:56 UTC",62.7546,-149.8905,1.7,89.90,20,"Central Alaska"
ak,10689218,2,"Sunday, April  7, 2013 05:22:50 UTC",63.0187,-151.0939,1.5,124.60,14,"Central Alaska"
us,b000g1kr,7,"Sunday, April  7, 2013 05:18:24 UTC",11.9410,-87.8882,4.4,35.10,52,"near the coast of Nicaragua"
us,b000g1ke,5,"Sunday, April  7, 2013 04:34:06 UTC",17.5161,147.2626,4.7,60.10,30,"Mariana Islands region"
nc,71967510,0,"Sunday, April  7, 2013 04:30:50 UTC",38.7902,-122.8605,1.1,1.70, 9,"Northern California"
ak,10689204,1,"Sunday, April  7, 2013 04:29:41 UTC",62.8327,-148.3764,1.6,51.80,18,"Central Alaska"
ak,10689199,1,"Sunday, April  7, 2013 04:00:09 UTC",62.9353,-150.5488,1.6,89.20,18,"Central Alaska"
us,b000g1k7,5,"Sunday, April  7, 2013 03:38:05 UTC",17.4919,147.4333,4.5,59.90,26,"Mariana Islands region"
ci,11281026,0,"Sunday, April  7, 2013 03:35:35 UTC",33.8042,-116.0907,1.6,5.10,55,"Southern California"
nn,00408634,1,"Sunday, April  7, 2013 03:29:45 UTC",38.7888,-118.5031,1.8,9.50,13,"Nevada"
ak,10689185,2,"Sunday, April  7, 2013 03:12:17 UTC",60.7422,-151.6584,1.5,79.60,22,"Kenai Peninsula, Alaska"
ci,11281018,0,"Sunday, April  7, 2013 03:04:35 UTC",33.8143,-116.1265,1.9,7.20,28,"Southern California"
ci,11281010,0,"Sunday, April  7, 2013 03:04:31 UTC",33.8108,-116.0982,1.9,4.50,61,"Southern California"
ci,11281002,0,"Sunday, April  7, 2013 02:47:34 UTC",36.1050,-117.6190,1.5,0.60,20,"Central California"
ak,10689173,1,"Sunday, April  7, 2013 02:35:21 UTC",62.1231,-152.2462,1.8,115.70,13,"Central Alaska"
ak,10689171,2,"Sunday, April  7, 2013 02:25:16 UTC",58.9142,-137.5912,1.5,0.50,12,"Southeastern Alaska"
ak,10689167,2,"Sunday, April  7, 2013 02:11:26 UTC",51.6991,-177.6340,1.6,13.10,14,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11280970,0,"Sunday, April  7, 2013 02:09:45 UTC",36.0473,-117.8628,1.4,1.20,15,"Central California"
ci,11280962,0,"Sunday, April  7, 2013 02:08:41 UTC",33.8000,-116.0898,1.4,6.30,49,"Southern California"
ak,10689166,1,"Sunday, April  7, 2013 02:03:28 UTC",61.4498,-150.0064,1.5,35.40, 5,"Southern Alaska"
ci,11280946,0,"Sunday, April  7, 2013 01:53:24 UTC",36.0487,-117.8545,2.0,1.10,17,"Central California"
us,b000g1jk,A,"Sunday, April  7, 2013 01:31:18 UTC",17.4136,147.3515,5.4,31.60,87,"Mariana Islands region"
ak,10689153,1,"Sunday, April  7, 2013 01:16:12 UTC",61.3033,-150.5461,2.1,51.10,20,"Southern Alaska"
nn,00408624,1,"Sunday, April  7, 2013 01:12:56 UTC",38.8850,-118.7286,1.6,12.80,14,"Nevada"
ci,11280930,0,"Sunday, April  7, 2013 01:03:31 UTC",34.5702,-118.0903,1.8,27.20,17,"Southern California"
ak,10689149,1,"Sunday, April  7, 2013 01:00:15 UTC",60.1909,-140.1046,1.6,11.20, 7,"Southern Yukon Territory, Canada"
ak,10689146,1,"Sunday, April  7, 2013 00:52:38 UTC",61.5733,-150.0663,1.9,19.30,23,"Southern Alaska"
ak,10689145,2,"Sunday, April  7, 2013 00:37:09 UTC",51.5018,-178.0905,2.1,7.00,19,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11280922,0,"Sunday, April  7, 2013 00:15:40 UTC",33.8038,-116.0900,1.2,6.90,23,"Southern California"
nc,71967435,0,"Sunday, April  7, 2013 00:09:25 UTC",40.4562,-124.0992,2.0,27.50,12,"Northern California"
ak,10689133,1,"Sunday, April  7, 2013 00:00:25 UTC",61.4318,-147.4239,3.0,12.00,56,"Southern Alaska"
nc,71967430,3,"Saturday, April  6, 2013 23:54:01 UTC",36.2608,-120.4462,2.4,13.00,87,"Central California"
ak,10689125,2,"Saturday, April  6, 2013 23:31:48 UTC",63.2407,-150.4955,2.9,124.20,80,"Central Alaska"
ci,11280906,0,"Saturday, April  6, 2013 23:18:54 UTC",33.9782,-116.8650,1.5,18.60,68,"Southern California"
ak,10689115,2,"Saturday, April  6, 2013 22:52:13 UTC",62.9837,-150.4406,2.0,99.40,53,"Central Alaska"
ak,10689109,2,"Saturday, April  6, 2013 22:33:55 UTC",63.9274,-148.9213,2.3,0.00,20,"Central Alaska"
ak,10689108,2,"Saturday, April  6, 2013 22:33:52 UTC",61.8286,-150.2630,2.1,48.10,27,"Southern Alaska"
nc,71967410,1,"Saturday, April  6, 2013 22:28:29 UTC",38.8163,-122.8313,1.1,3.20,24,"Northern California"
nc,71967395,0,"Saturday, April  6, 2013 21:41:11 UTC",38.8320,-122.7535,1.3,0.80,19,"Northern California"
ak,10689097,2,"Saturday, April  6, 2013 21:36:41 UTC",61.4050,-146.5724,2.0,9.00,45,"Southern Alaska"
ak,10690154,2,"Saturday, April  6, 2013 21:30:08 UTC",52.1687,-174.5240,2.6,221.80,20,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11280842,0,"Saturday, April  6, 2013 21:29:53 UTC",33.8480,-118.4450,1.9,3.20,36,"Santa Monica Bay, California"
ci,11280834,0,"Saturday, April  6, 2013 21:24:07 UTC",33.8020,-116.0980,1.3,2.40,44,"Southern California"
ak,10689092,3,"Saturday, April  6, 2013 21:19:20 UTC",63.1705,-150.3609,1.0,111.90,21,"Central Alaska"
uw,60515387,2,"Saturday, April  6, 2013 21:14:46 UTC",49.3743,-120.4770,2.4,0.00, 8,"British Columbia, Canada"
ci,11280826,0,"Saturday, April  6, 2013 21:03:30 UTC",34.3357,-118.2712,2.0,7.90,38,"Southern California"
us,b000g1km,4,"Saturday, April  6, 2013 20:49:05 UTC",45.9100,6.0600,3.4,2.00, 0,"France"
ak,10690151,2,"Saturday, April  6, 2013 20:46:46 UTC",63.0071,-150.3577,1.2,84.80,24,"Central Alaska"
ak,10689086,2,"Saturday, April  6, 2013 20:42:24 UTC",60.5929,-145.0300,1.4,5.00,26,"Southern Alaska"
ak,10689083,2,"Saturday, April  6, 2013 20:31:55 UTC",65.1435,-150.2429,1.3,5.10,20,"northern Alaska"
ak,10689081,2,"Saturday, April  6, 2013 20:25:14 UTC",63.3158,-151.1409,1.1,16.60,26,"Central Alaska"
nc,71967380,0,"Saturday, April  6, 2013 20:20:15 UTC",38.8277,-122.8052,1.0,2.80,22,"Northern California"
us,b000g1fx,4,"Saturday, April  6, 2013 19:57:48 UTC",16.2687,147.2753,4.8,49.60,69,"Mariana Islands region"
nc,71967375,6,"Saturday, April  6, 2013 19:40:54 UTC",40.2943,-124.5008,3.0,19.70,31,"offshore Northern California"
ci,11280802,0,"Saturday, April  6, 2013 19:24:02 UTC",33.4948,-116.4432,1.7,6.40,90,"Southern California"
nc,71967365,0,"Saturday, April  6, 2013 19:14:13 UTC",37.9228,-121.8110,1.8,8.80,11,"San Francisco Bay area, California"
us,b000g1f3,8,"Saturday, April  6, 2013 19:05:53 UTC",31.5636,140.3265,4.8,57.30,69,"Izu Islands, Japan region"
ci,11280778,0,"Saturday, April  6, 2013 18:55:27 UTC",33.5055,-116.4340,1.0,11.40,33,"Southern California"
nc,71967350,0,"Saturday, April  6, 2013 18:47:50 UTC",38.8103,-122.8115,1.0,1.60,20,"Northern California"
ak,10689064,2,"Saturday, April  6, 2013 18:43:01 UTC",62.1290,-151.3345,1.6,83.80,35,"Central Alaska"
ci,11280770,0,"Saturday, April  6, 2013 18:42:14 UTC",33.4962,-116.4357,1.3,9.70,60,"Southern California"
us,b000g1eh,8,"Saturday, April  6, 2013 18:36:44 UTC",30.0944,88.0814,4.7,34.70,62,"western Xizang"
nc,71967335,1,"Saturday, April  6, 2013 18:24:41 UTC",38.8067,-122.8175,1.6,2.60,24,"Northern California"
ci,11280754,0,"Saturday, April  6, 2013 18:24:41 UTC",33.8060,-116.0850,1.2,8.70,32,"Southern California"
